theater_name,theater_addr,movie_name,showtimes,img_src
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Spirited Away: 15th Anniversary,7:00pm,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/197438/spiritedaway.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Believe (2016),"1:00pm	4:15pm	7:15pm	10:00pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/197520/believe-posterart.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Incarnate,"12:20pm	3:10pm	5:50pm	8:20pm	10:45pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/193285/incarnate-final-art.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Allied,"1:10pm	4:20pm	7:20pm	10:25pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194908/allied_online_payoff_1-sht-.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Bad Santa 2,"11:50am	2:30pm	5:00pm	7:45pm	10:10pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194623/bs2-poster.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Moana 3D,"1:20pm	4:30pm	7:30pm	10:20pm	1:20pm	4:30pm	7:30pm	10:20pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/197521/moana57d7ae7e1548f.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Moana,"11:30am	2:20pm	5:20pm	8:00pm	10:50pm	12:30pm	3:30pm	6:30pm	9:30pm	12:30pm	3:30pm	6:30pm	9:30pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/185801/moana57d7ae7e1548f.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Rules Don't Apply,11:00am,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/193097/rulesdontapply_27x40_1sheet.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Fantastic Beasts and Where to Find Them,"11:40am	3:00pm	6:20pm	9:40pm	12:40pm	4:00pm	7:10pm	10:15pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/175212/fantasticbeasts-posterart.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",The Edge of Seventeen,"3:50pm	10:30pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194273/theedgeofseventeen-posterar.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Almost Christmas,"11:10am	1:50pm	4:40pm	7:40pm	10:35pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/188530/atc_fin1sheet3_rgb_1.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Arrival,"12:50pm	3:40pm	7:00pm	9:45pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194802/arrival_rated_payoff_1-sht_.jpg
